first_column,Total Hydroelectric,Nuclear,In-State Coal,Oil,Natural Gas ,Geothermal,Biomass,Wind,Solar,Other,Direct Coal Imports,Other Imports
2001,24988,33294,4041,379,116369,13525,5761,3242,836,38,23699,41227
2002,31359,34353,4275,87,92752,13396,6196,3546,851,35,23653,63941
2003,36341,35594,4269,103,94715,13329,6092,3316,759,108,23148,62253
2004,34490,30241,4086,127,105358,13494,6080,4258,741,48,24504,66785
2005,40263,36155,4283,148,97110,13292,6076,4084,660,24,24114,62967
2006,48559,32036,4190,134,109316,13093,5861,4902,616,34,14452,65263
2007,27105,35698,4217,103,120459,13029,5743,5570,668,15,14417,77799
2008,24460,32482,3977,92,123036,12907,5927,5724,733,39,14463,83608
2009,29220,31509,3735,67,117277,12907,6096,6249,851,20,13556,77615
2010,34327,32214,3406,52,109916,12740,5960,6172,912,12,13119,72481
2011,42731,36666,3120,36,91276,12685,5986,7598,1097,13,13032,79633
2012,27459,18491,1580,90,121761,12733,6121,9242,1834,14,9716,93071
2013,24098,17860,1018,38,120896,12485,6466,12694,4154,14,11824,85022