U.S. Custom Ports,Coast,Year,Value
"Mobile, AL",G,2009,852391.02
"Mobile, AL",G,2010,783139.77
"Mobile, AL",G,2011,976171.78
"Mobile, AL",G,2012,1486975.16
"Mobile, AL",G,2013,1728283.54
"Mobile, AL",G,2014,1824816.79
"New Orleans, LA",G,1997,2378213.07
"New Orleans, LA",G,1998,2276391.57
"New Orleans, LA",G,1999,2539771.06
"New Orleans, LA",G,2000,2486444.61
"New Orleans, LA",G,2001,2415680.84
"New Orleans, LA",G,2002,2320883.13
"New Orleans, LA",G,2003,2645739.48
"New Orleans, LA",G,2004,2781807.58
"New Orleans, LA",G,2005,2108265.71
"New Orleans, LA",G,2006,2098798.84
"New Orleans, LA",G,2007,2937329.99
"New Orleans, LA",G,2008,2760826.94
"New Orleans, LA",G,2009,2824692.19
"New Orleans, LA",G,2010,3462766.84
"New Orleans, LA",G,2011,3842781.96
"New Orleans, LA",G,2012,3681914.91
"New Orleans, LA",G,2013,3810840.33
"New Orleans, LA",G,2014,4421427.47
"New York, NY",A,1997,1.50E+07
"New York, NY",A,1998,1.60E+07
"New York, NY",A,1999,1.71E+07
"New York, NY",A,2000,1.85E+07
"New York, NY",A,2001,1.94E+07
"New York, NY",A,2002,2.13E+07
"New York, NY",A,2003,2.28E+07
"New York, NY",A,2004,2.56E+07
"New York, NY",A,2005,2.75E+07
"New York, NY",A,2006,2.93E+07
"New York, NY",A,2007,3.15E+07
"New York, NY",A,2008,3.18E+07
"New York, NY",A,2009,2.88E+07
"New York, NY",A,2010,3.31E+07
"New York, NY",A,2011,3.48E+07
"New York, NY",A,2012,3.50E+07
"New York, NY",A,2013,3.42E+07
"New York, NY",A,2014,3.51E+07
"Newport News, VA",A,1997,524550.42
"Newport News, VA",A,1998,715224.08
"Newport News, VA",A,1999,819224.08
"Newport News, VA",A,2000,737980.98
"Newport News, VA",A,2001,447523.02
"Newport News, VA",A,2002,567819.4
"Newport News, VA",A,2003,746284.14
"Newport News, VA",A,2004,892811.9
"Newport News, VA",A,2005,987344.77
"Newport News, VA",A,2006,674446.7
"Newport News, VA",A,2007,530341.74
"Newport News, VA",A,2008,241855.38
"Newport News, VA",A,2009,2775.87
"Newport News, VA",A,2010,110.8
"Newport News, VA",A,2011,6355.47
"Newport News, VA",A,2012,2639.56
"Newport News, VA",A,2013,6485.39
"Newport News, VA",A,2014,39717.33
"Norfolk, VA",A,1997,6918892.34
"Norfolk, VA",A,1998,6887867.25
"Norfolk, VA",A,1999,7134042.14
"Norfolk, VA",A,2000,7216509.99
"Norfolk, VA",A,2001,7500307.57
"Norfolk, VA",A,2002,7885066.31
"Norfolk, VA",A,2003,8697009.22
"Norfolk, VA",A,2004,9708665.54
"Norfolk, VA",A,2005,1.07E+07
"Norfolk, VA",A,2006,1.16E+07
"Norfolk, VA",A,2007,1.33E+07
"Norfolk, VA",A,2008,1.35E+07
"Norfolk, VA",A,2009,1.19E+07
"Norfolk, VA",A,2010,1.23E+07
"Norfolk, VA",A,2011,1.28E+07
"Norfolk, VA",A,2012,1.43E+07
"Norfolk, VA",A,2013,1.59E+07
"Norfolk, VA",A,2014,1.67E+07
"Oakland, CA",P,1997,7293462.7
"Oakland, CA",P,1998,7658080.21
"Oakland, CA",P,1999,7719273.84
"Oakland, CA",P,2000,8334902.84
"Oakland, CA",P,2001,8293922.45
"Oakland, CA",P,2002,8211708.34
"Oakland, CA",P,2003,8930186.77
"Oakland, CA",P,2004,1.01E+07
"Oakland, CA",P,2005,1.18E+07
"Oakland, CA",P,2006,1.19E+07
"Oakland, CA",P,2007,1.23E+07
"Oakland, CA",P,2008,1.20E+07
"Oakland, CA",P,2009,1.23E+07
"Oakland, CA",P,2010,1.31E+07
"Oakland, CA",P,2011,1.34E+07
"Oakland, CA",P,2012,1.37E+07
"Oakland, CA",P,2013,1.44E+07
"Oakland, CA",P,2014,1.44E+07
"Panama City, FL",G,1997,38.33
"Panama City, FL",G,1998,163.39
"Panama City, FL",G,1999,143.71
"Panama City, FL",G,2000,46.44
"Panama City, FL",G,2001,0
"Panama City, FL",G,2002,0
"Panama City, FL",G,2003,174.2
"Panama City, FL",G,2004,0
"Panama City, FL",G,2005,83099.21
"Panama City, FL",G,2006,270303.1
"Panama City, FL",G,2007,259098.88
"Panama City, FL",G,2008,240319.24
"Panama City, FL",G,2009,208571.25
"Panama City, FL",G,2010,205772.24
"Panama City, FL",G,2011,221678.94
"Panama City, FL",G,2012,227634.92
"Panama City, FL",G,2013,278075.93
"Panama City, FL",G,2014,207914.68
"Pensacola, FL",G,1997,0
"Pensacola, FL",G,1998,119.08
"Pensacola, FL",G,1999,0
"Pensacola, FL",G,2000,0
"Pensacola, FL",G,2001,351.08
"Pensacola, FL",G,2002,9.32
"Pensacola, FL",G,2003,12
"Pensacola, FL",G,2004,0
"Pensacola, FL",G,2005,177.58
"Pensacola, FL",G,2006,43.29
"Pensacola, FL",G,2007,5442.06
"Pensacola, FL",G,2008,1711.04
"Pensacola, FL",G,2009,0
"Pensacola, FL",G,2010,0
"Pensacola, FL",G,2011,575.5
"Pensacola, FL",G,2012,2567.59
"Pensacola, FL",G,2013,204.97
"Pensacola, FL",G,2014,364.79
"Pensauken, NJ",A,1997,18395.9
"Pensauken, NJ",A,1998,15166.28
"Pensauken, NJ",A,1999,1125.95
"Pensauken, NJ",A,2000,1272.27
"Pensauken, NJ",A,2001,1355.98
"Pensauken, NJ",A,2002,1104.9
"Pensauken, NJ",A,2003,734.64
"Pensauken, NJ",A,2004,886.53
"Pensauken, NJ",A,2005,1189.02
"Pensauken, NJ",A,2006,4239.75
"Pensauken, NJ",A,2007,2646.07
"Pensauken, NJ",A,2008,3030.04
"Pensauken, NJ",A,2009,1662.71
"Pensauken, NJ",A,2010,4551.1
"Pensauken, NJ",A,2011,8171.21
"Pensauken, NJ",A,2012,5704.69
"Pensauken, NJ",A,2013,395437.61
"Pensauken, NJ",A,2014,335597.16
"Philadelphia, PA",A,1997,1025056.82
"Philadelphia, PA",A,1998,1325538.52
"Philadelphia, PA",A,1999,1070934.47
"Philadelphia, PA",A,2000,981106.37
"Philadelphia, PA",A,2001,1022038.63
"Philadelphia, PA",A,2002,1181151.16
"Philadelphia, PA",A,2003,1306142.56
"Philadelphia, PA",A,2004,1620060.52
"Philadelphia, PA",A,2005,1935487.8
"Philadelphia, PA",A,2006,2147806.38
"Philadelphia, PA",A,2007,2219164.58
"Philadelphia, PA",A,2008,2267899.69
"Philadelphia, PA",A,2009,2024516.92
"Philadelphia, PA",A,2010,2046387.06
"Philadelphia, PA",A,2011,2253745.25
"Philadelphia, PA",A,2012,2562574.34
"Philadelphia, PA",A,2013,3001081.06
"Philadelphia, PA",A,2014,3176713.85
"Ponce, PR",PR,1997,315927.87
"Ponce, PR",PR,1998,327291.4
"Ponce, PR",PR,1999,411194.49
"Ponce, PR",PR,2000,417763.48
"Ponce, PR",PR,2001,383407.32
"Ponce, PR",PR,2002,275445.79
"Ponce, PR",PR,2003,68393.2
"Ponce, PR",PR,2004,18225.82
"Ponce, PR",PR,2005,1598.67
"Ponce, PR",PR,2006,647.39
"Ponce, PR",PR,2007,4557.39
"Ponce, PR",PR,2008,196.32
"Ponce, PR",PR,2009,194.39
"Ponce, PR",PR,2010,54.14
"Ponce, PR",PR,2011,22.91
"Ponce, PR",PR,2012,499.74
"Ponce, PR",PR,2013,347.63
"Ponce, PR",PR,2014,1
"Port Angeles, WA",P,1997,0
"Port Angeles, WA",P,1998,0
"Port Angeles, WA",P,1999,0
"Port Angeles, WA",P,2000,0
"Port Angeles, WA",P,2001,928.13
"Port Angeles, WA",P,2002,0
"Port Angeles, WA",P,2003,0
"Port Angeles, WA",P,2004,14.06
"Port Angeles, WA",P,2005,0
"Port Angeles, WA",P,2006,17
"Port Angeles, WA",P,2007,121.18
"Port Angeles, WA",P,2008,0
"Port Angeles, WA",P,2009,229.39
"Port Angeles, WA",P,2010,40.92
"Port Angeles, WA",P,2011,393.92
"Port Angeles, WA",P,2012,18.73
"Port Angeles, WA",P,2013,1577.98
"Port Angeles, WA",P,2014,2211.29
"Port Arthur, TX",G,1997,44.26
"Port Arthur, TX",G,1998,6.89
"Port Arthur, TX",G,1999,129.77
"Port Arthur, TX",G,2000,49.94
"Port Arthur, TX",G,2001,45.29
"Port Arthur, TX",G,2002,2405.76
"Port Arthur, TX",G,2003,28.04
"Port Arthur, TX",G,2004,72645.63
"Port Arthur, TX",G,2005,279.74
"Port Arthur, TX",G,2006,446.64
"Port Arthur, TX",G,2007,185.12
"Port Arthur, TX",G,2008,201.94
"Port Arthur, TX",G,2009,3472.3
"Port Arthur, TX",G,2010,436269.56
"Port Arthur, TX",G,2011,73469.06
"Port Arthur, TX",G,2012,220346.53
"Port Arthur, TX",G,2013,935.53
"Port Arthur, TX",G,2014,1240.41
"Port Canaveral, FL",A,1997,303.87
"Port Canaveral, FL",A,1998,412.76
"Port Canaveral, FL",A,1999,5085.29
"Port Canaveral, FL",A,2000,3486.74
"Port Canaveral, FL",A,2001,1031.21
"Port Canaveral, FL",A,2002,435.79
"Port Canaveral, FL",A,2003,105.27
"Port Canaveral, FL",A,2004,7537.67
"Port Canaveral, FL",A,2005,10043.04
"Port Canaveral, FL",A,2006,815.65
"Port Canaveral, FL",A,2007,1099.54
"Port Canaveral, FL",A,2008,1161.97
"Port Canaveral, FL",A,2009,541.45
"Port Canaveral, FL",A,2010,459.43
"Port Canaveral, FL",A,2011,2003.63
"Port Canaveral, FL",A,2012,5630.2
"Port Canaveral, FL",A,2013,1362.78
"Port Canaveral, FL",A,2014,397.33
"Port Everglades, FL",A,1997,3668336.12
"Port Everglades, FL",A,1998,3678622.72
"Port Everglades, FL",A,1999,3570650.75
"Port Everglades, FL",A,2000,3229443.27
"Port Everglades, FL",A,2001,3064624.85
"Port Everglades, FL",A,2002,2781895.84
"Port Everglades, FL",A,2003,3104576.86
"Port Everglades, FL",A,2004,3682901.6
"Port Everglades, FL",A,2005,4478945.11
"Port Everglades, FL",A,2006,4940173.4
"Port Everglades, FL",A,2007,5300873.15
"Port Everglades, FL",A,2008,5238984.63
"Port Everglades, FL",A,2009,4284323.85
"Port Everglades, FL",A,2010,4662211.02
"Port Everglades, FL",A,2011,5011122.55
"Port Everglades, FL",A,2012,5234042.24
"Port Everglades, FL",A,2013,5792278.73
"Port Everglades, FL",A,2014,6279520.72
"Port Hueneme, CA",P,1997,35863.97
"Port Hueneme, CA",P,1998,50385.54
"Port Hueneme, CA",P,1999,82732.78
"Port Hueneme, CA",P,2000,86975.5
"Port Hueneme, CA",P,2001,79433.55
"Port Hueneme, CA",P,2002,76078.71
"Port Hueneme, CA",P,2003,97526.86
"Port Hueneme, CA",P,2004,105211.14
"Port Hueneme, CA",P,2005,156801.16
"Port Hueneme, CA",P,2006,157774.41
"Port Hueneme, CA",P,2007,149194.98
"Port Hueneme, CA",P,2008,173714.6
"Port Hueneme, CA",P,2009,168648.93
"Port Hueneme, CA",P,2010,214020.94
"Port Hueneme, CA",P,2011,195200.07
"Port Hueneme, CA",P,2012,482670.92
"Port Hueneme, CA",P,2013,491744.75
"Port Hueneme, CA",P,2014,499057.4
"Port Manatee, FL",G,1997,0
"Port Manatee, FL",G,1998,0
"Port Manatee, FL",G,1999,0
"Port Manatee, FL",G,2000,0
"Port Manatee, FL",G,2001,0
"Port Manatee, FL",G,2002,0
"Port Manatee, FL",G,2003,4712.1
"Port Manatee, FL",G,2004,52431.66
"Port Manatee, FL",G,2005,35028.32
"Port Manatee, FL",G,2006,46432.96
"Port Manatee, FL",G,2007,36582.93
"Port Manatee, FL",G,2008,49898.42
"Port Manatee, FL",G,2009,148307.44
"Port Manatee, FL",G,2010,134218.56
"Port Manatee, FL",G,2011,85045.84
"Port Manatee, FL",G,2012,103339.04
"Port Manatee, FL",G,2013,96369.83
"Port Manatee, FL",G,2014,107841.25
"Port Townsend, WA",P,1997,0
"Port Townsend, WA",P,1998,0
"Port Townsend, WA",P,1999,0
"Port Townsend, WA",P,2000,0
"Port Townsend, WA",P,2001,0
"Port Townsend, WA",P,2002,0
"Port Townsend, WA",P,2003,0
"Port Townsend, WA",P,2004,18.24
"Port Townsend, WA",P,2005,0
"Port Townsend, WA",P,2006,172.52
"Port Townsend, WA",P,2007,0
"Port Townsend, WA",P,2008,2.3
"Port Townsend, WA",P,2009,159.13
"Port Townsend, WA",P,2010,0.31
"Port Townsend, WA",P,2011,0
"Port Townsend, WA",P,2012,0
"Port Townsend, WA",P,2013,0
"Port Townsend, WA",P,2014,28.72
"Portland, ME",A,1997,31124.16
"Portland, ME",A,1998,22743.64
"Portland, ME",A,1999,40745.39
"Portland, ME",A,2000,32860.08
"Portland, ME",A,2001,26828.58
"Portland, ME",A,2002,26143.36
"Portland, ME",A,2003,21614.2
"Portland, ME",A,2004,19407.13
"Portland, ME",A,2005,32636.81
"Portland, ME",A,2006,14309.58
"Portland, ME",A,2007,9381.02
"Portland, ME",A,2008,12.98
"Portland, ME",A,2009,0
"Portland, ME",A,2010,0
"Portland, ME",A,2011,6442.05
"Portland, ME",A,2012,3656.81
"Portland, ME",A,2013,33507.64
"Portland, ME",A,2014,62666.71
"Portland, OR",P,1997,2184227.1
"Portland, OR",P,1998,1998665.6
"Portland, OR",P,1999,2267163.94
"Portland, OR",P,2000,2269621.64
"Portland, OR",P,2001,2148544.98
"Portland, OR",P,2002,1876794.38
"Portland, OR",P,2003,2087064.57
"Portland, OR",P,2004,2020376.76
"Portland, OR",P,2005,1142688.67
"Portland, OR",P,2006,1521553.88
"Portland, OR",P,2007,1983976.85
"Portland, OR",P,2008,1855523.48
"Portland, OR",P,2009,1527402.48
"Portland, OR",P,2010,1214401.46
"Portland, OR",P,2011,1468322.31
"Portland, OR",P,2012,1538492.18
"Portland, OR",P,2013,1410102.57
"Portland, OR",P,2014,1288280.22
"Portsmouth, NH",A,1997,0
"Portsmouth, NH",A,1998,7
"Portsmouth, NH",A,1999,0
"Portsmouth, NH",A,2000,0
"Portsmouth, NH",A,2001,0
"Portsmouth, NH",A,2002,0
"Portsmouth, NH",A,2003,0
"Portsmouth, NH",A,2004,34.93
"Portsmouth, NH",A,2005,0
"Portsmouth, NH",A,2006,0
"Portsmouth, NH",A,2007,1051.06
"Portsmouth, NH",A,2008,21.21
"Portsmouth, NH",A,2009,94.8
"Portsmouth, NH",A,2010,219.88
"Portsmouth, NH",A,2011,60.9
"Portsmouth, NH",A,2012,667.85
"Portsmouth, NH",A,2013,351.64
"Portsmouth, NH",A,2014,7.72
"San Diego, CA",P,1997,44830.2
"San Diego, CA",P,1998,25576.33
"San Diego, CA",P,1999,41.41
"San Diego, CA",P,2000,127.32
"San Diego, CA",P,2001,50.24
"San Diego, CA",P,2002,18152.25
"San Diego, CA",P,2003,471438.65
"San Diego, CA",P,2004,477164.96
"San Diego, CA",P,2005,459765.21
"San Diego, CA",P,2006,476566.91
"San Diego, CA",P,2007,472790.25
"San Diego, CA",P,2008,468836.62
"San Diego, CA",P,2009,460398.19
"San Diego, CA",P,2010,463640.25
"San Diego, CA",P,2011,459463.69
"San Diego, CA",P,2012,478576.94
"San Diego, CA",P,2013,452859.12
"San Diego, CA",P,2014,498366.62
"San Francisco, CA",P,1997,155356.36
"San Francisco, CA",P,1998,174764.69
"San Francisco, CA",P,1999,323765.25
"San Francisco, CA",P,2000,395366.26
"San Francisco, CA",P,2001,233698.72
"San Francisco, CA",P,2002,154385.92
"San Francisco, CA",P,2003,169196.16
"San Francisco, CA",P,2004,277957.24
"San Francisco, CA",P,2005,4004.56
"San Francisco, CA",P,2006,2256.81
"San Francisco, CA",P,2007,379.18
"San Francisco, CA",P,2008,3295.45
"San Francisco, CA",P,2009,93.39
"San Francisco, CA",P,2010,23.45
"San Francisco, CA",P,2011,1067.32
"San Francisco, CA",P,2012,8594.65
"San Francisco, CA",P,2013,1048.41
"San Francisco, CA",P,2014,17117.23
"San Juan, PR",PR,1997,1265388.72
"San Juan, PR",PR,1998,1217561.83
"San Juan, PR",PR,1999,1253649.21
"San Juan, PR",PR,2000,1311722.77
"San Juan, PR",PR,2001,1344398.13
"San Juan, PR",PR,2002,1391351.62
"San Juan, PR",PR,2003,1668998.11
"San Juan, PR",PR,2004,1794245.15
"San Juan, PR",PR,2005,1963564.14
"San Juan, PR",PR,2006,1972330.21
"San Juan, PR",PR,2007,1839450.59
"San Juan, PR",PR,2008,1997374.67
"San Juan, PR",PR,2009,2005160.44
"San Juan, PR",PR,2010,2032187.88
"San Juan, PR",PR,2011,1771865.39
"San Juan, PR",PR,2012,1588578.04
"San Juan, PR",PR,2013,1671048.68
"San Juan, PR",PR,2014,1615683.78
"Savannah, GA",A,1997,4900689.25
"Savannah, GA",A,1998,5104674.35
"Savannah, GA",A,1999,5691169.54
"Savannah, GA",A,2000,6354363.63
"Savannah, GA",A,2001,6962564.97
"Savannah, GA",A,2002,8323110.1
"Savannah, GA",A,2003,9361455.46
"Savannah, GA",A,2004,1.09E+07
"Savannah, GA",A,2005,1.26E+07
"Savannah, GA",A,2006,1.34E+07
"Savannah, GA",A,2007,1.74E+07
"Savannah, GA",A,2008,1.81E+07
"Savannah, GA",A,2009,1.67E+07
"Savannah, GA",A,2010,1.90E+07
"Savannah, GA",A,2011,2.00E+07
"Savannah, GA",A,2012,2.02E+07
"Savannah, GA",A,2013,2.09E+07
"Savannah, GA",A,2014,2.26E+07
"Seattle, WA",P,1997,7986107.06
"Seattle, WA",P,1998,7903714.66
"Seattle, WA",P,1999,7783035.51
"Seattle, WA",P,2000,7648595.37
"Seattle, WA",P,2001,6538386.53
"Seattle, WA",P,2002,6703367.11
"Seattle, WA",P,2003,6345854.31
"Seattle, WA",P,2004,7993876.34
"Seattle, WA",P,2005,1.05E+07
"Seattle, WA",P,2006,9547161.98
"Seattle, WA",P,2007,1.06E+07
"Seattle, WA",P,2008,9047469.79
"Seattle, WA",P,2009,9113852.31
"Seattle, WA",P,2010,1.19E+07
"Seattle, WA",P,2011,1.21E+07
"Seattle, WA",P,2012,1.12E+07
"Seattle, WA",P,2013,9436621.51
"Seattle, WA",P,2014,7731157.38
"Tacoma, WA",P,1997,4537958.88
"Tacoma, WA",P,1998,3971227.49
"Tacoma, WA",P,1999,4594860.45
"Tacoma, WA",P,2000,5062854.18
"Tacoma, WA",P,2001,4806924.69
"Tacoma, WA",P,2002,5994799.31
"Tacoma, WA",P,2003,7416022.97
"Tacoma, WA",P,2004,7634196.12
"Tacoma, WA",P,2005,9083967.92
"Tacoma, WA",P,2006,8573059.88
"Tacoma, WA",P,2007,9361808.58
"Tacoma, WA",P,2008,9483094.92
"Tacoma, WA",P,2009,7428348.46
"Tacoma, WA",P,2010,7007108.78
"Tacoma, WA",P,2011,7460971.09
"Tacoma, WA",P,2012,9258857.3
"Tacoma, WA",P,2013,1.09E+07
"Tacoma, WA",P,2014,1.17E+07
"Tampa, FL",G,1997,84452.92
"Tampa, FL",G,1998,44460.92
"Tampa, FL",G,1999,67106.41
"Tampa, FL",G,2000,51958.75
"Tampa, FL",G,2001,34622.8
"Tampa, FL",G,2002,22657.42
"Tampa, FL",G,2003,46449.34
"Tampa, FL",G,2004,95095.44
"Tampa, FL",G,2005,101578.42
"Tampa, FL",G,2006,150733.41
"Tampa, FL",G,2007,242836.23
"Tampa, FL",G,2008,267957.33
"Tampa, FL",G,2009,336140.35
"Tampa, FL",G,2010,262231.91
"Tampa, FL",G,2011,270127.4
"Tampa, FL",G,2012,277175.44
"Tampa, FL",G,2013,271347.95
"Tampa, FL",G,2014,336640.4
"Vancouver, WA",P,1997,531.77
"Vancouver, WA",P,1998,97.85
"Vancouver, WA",P,1999,169.41
"Vancouver, WA",P,2000,3910.76
"Vancouver, WA",P,2001,6759.92
"Vancouver, WA",P,2002,744.4
"Vancouver, WA",P,2003,743.76
"Vancouver, WA",P,2004,32957.15
"Vancouver, WA",P,2005,2882.37
"Vancouver, WA",P,2006,2105.24
"Vancouver, WA",P,2007,2596.44
"Vancouver, WA",P,2008,366.85
"Vancouver, WA",P,2009,1753.32
"Vancouver, WA",P,2010,16468.65
"Vancouver, WA",P,2011,7395.89
"Vancouver, WA",P,2012,3390.9
"Vancouver, WA",P,2013,9799.81
"Vancouver, WA",P,2014,16545.16
"West Palm Beach, FL",A,1997,908296.2
"West Palm Beach, FL",A,1998,978659.71
"West Palm Beach, FL",A,1999,1016727.5
"West Palm Beach, FL",A,2000,1003669.93
"West Palm Beach, FL",A,2001,924917.23
"West Palm Beach, FL",A,2002,1128619.92
"West Palm Beach, FL",A,2003,1100394.17
"West Palm Beach, FL",A,2004,1227138.38
"West Palm Beach, FL",A,2005,1199740.65
"West Palm Beach, FL",A,2006,1142856.1
"West Palm Beach, FL",A,2007,1071562.99
"West Palm Beach, FL",A,2008,1051240.06
"West Palm Beach, FL",A,2009,884945.19
"West Palm Beach, FL",A,2010,909426.29
"West Palm Beach, FL",A,2011,855523.5
"West Palm Beach, FL",A,2012,975095.5
"West Palm Beach, FL",A,2013,1280854.39
"West Palm Beach, FL",A,2014,1337542.17
"Wilmington, DE",A,1997,920510.72
"Wilmington, DE",A,1998,1119904.25
"Wilmington, DE",A,1999,1177688.97
"Wilmington, DE",A,2000,1076741.51
"Wilmington, DE",A,2001,1119156.92
"Wilmington, DE",A,2002,1179588.32
"Wilmington, DE",A,2003,1653627.9
"Wilmington, DE",A,2004,1261744.64
"Wilmington, DE",A,2005,1305132.5
"Wilmington, DE",A,2006,1397144.06
"Wilmington, DE",A,2007,1516471.22
"Wilmington, DE",A,2008,1545021.72
"Wilmington, DE",A,2009,1354675.97
"Wilmington, DE",A,2010,1341486.87
"Wilmington, DE",A,2011,1418332.67
"Wilmington, DE",A,2012,1587715.39
"Wilmington, DE",A,2013,1698479.51
"Wilmington, DE",A,2014,1775960.6
"Wilmington, NC",A,1997,662954.7
"Wilmington, NC",A,1998,643087.81
"Wilmington, NC",A,1999,579392.09
"Wilmington, NC",A,2000,572762.26
"Wilmington, NC",A,2001,527845.67
"Wilmington, NC",A,2002,549281.57
"Wilmington, NC",A,2003,546675.77
"Wilmington, NC",A,2004,577880.31
"Wilmington, NC",A,2005,729631.56
"Wilmington, NC",A,2006,930754.66
"Wilmington, NC",A,2007,1191022.81
"Wilmington, NC",A,2008,1171983.46
"Wilmington, NC",A,2009,1558497.83
"Wilmington, NC",A,2010,1695101.61
"Wilmington, NC",A,2011,1881784.22
"Wilmington, NC",A,2012,1681303.25
"Wilmington, NC",A,2013,1929861.9
"Wilmington, NC",A,2014,2073474.46
