end_lat,end_long,start_lat,start_long,end_country,start_country,count,year
35.8592948,104.1361117,23.5,121,大陸地區,台灣,187,101
34.7857324,134.3756902,23.5,121,日本,台灣,97,101
37.6,-95.665,23.5,121,美國,台灣,164,101
35.8615124,127.096405,23.5,121,大韓民國(南韓),台灣,71,101
51.1719674,10.4541194,23.5,121,德意志聯邦共和國,台灣,99,101
46.2157467,2.2088258,23.5,121,法國,台灣,68,101
55.3632592,-3.4433238,23.5,121,英國,台灣,62,101
52.2129919,5.2793703,23.5,121,荷蘭王國,台灣,54,101
49.8037633,15.4749126,23.5,121,捷克共和國,台灣,37,101
56,-96,23.5,121,加拿大,台灣,36,101
62.1983366,17.5652566,23.5,121,瑞典王國,台灣,42,101
-27.9210555,133.247866,23.5,121,澳大利亞,台灣,33,101
22.3576782,114.1210181,23.5,121,香港,台灣,53,101
40.2085,-3.713,23.5,121,西班牙王國,台灣,24,101
47.696472,13.3457348,23.5,121,奧地利共和國,台灣,43,101
13.03887,101.490104,23.5,121,泰王國(泰國),台灣,19,101
1.3147308,103.8470128,23.5,121,新加坡共和國,台灣,44,101
4.140634,109.6181485,23.5,121,馬來西亞,台灣,22,101
64.9146659,26.0672553,23.5,121,芬蘭共和國,台灣,20,101
11.6978351,122.6217542,23.5,121,菲律賓共和國,台灣,34,101